Title,Title2,starrating,View,Keywords,Salary,Location,Keywords5,Skill1,Skill2,Skill3,Skill4,Skill5,Skll6,Skill7,Skill8,Type,Type13,Role,Industry_Type_1,Industry_Type_2,Functional_Area,Employment_Type,Role_Category
Data Scientist,Sociolla,,,5-10 Yrs,"8,00,000 - 15,00,000 PA.",Delhi NCR,"NoSQL
Artificial Intelligence
Python
Anomaly Detection
Data Science
Scipy
R
Machine Learning",NoSQL,Artificial Intelligence,Python,Anomaly Detection,Data Science,Scipy,R,Machine Learning,HOT JOB,3 DAYS AGO,Data Analyst,Retail, Wholesale,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Scientist – Document Extraction,ARIMON DIGILYTICS PRIVATE LIMITED,,,2-5 Yrs,Not disclosed,Gurgaon,"Data Science
R
Rest
Databases
NLP
regression
BERT
Data Modeling",Data Science,R,Rest,Databases,NLP,regression,BERT,Data Modeling,HOT JOB,8 DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Other,"Full Time, Permanent",Programming & Design
Data Scientist,Infolona Consumer Solutions (P) Ltd,,,2-7 Yrs,Not disclosed,Gurgaon,"Text mining
data science
SAAS
Machine learning
Data collection
Information retrieval
Business modeling
Analytics",Text mining,data science,SAAS,Machine learning,Data collection,Information retrieval,Business modeling,Analytics,PREMIUM,2 DAYS AGO,Software Developer,Internet, Ecommerce,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Looking For Data Scientist - Optimization Consultant,INDORAMA VENTURES GLOBAL SHARED SERVICES PVT LTD,,,3-8 Yrs,Not disclosed,Kolkata,"IT Skills
Python
Data Science
databases
optimization consultant
data science
data mining
data scientist",IT Skills,Python,Data Science,databases,optimization consultant,data science,data mining,data scientist,PREMIUM,3 DAYS AGO,Business Analyst,IT-Software, Software Services,IT Software - DBA,"Full Time, Permanent",System Design/Implementation/ERP/CRM
Senior Data Analyst - IT (Pune),Krazy Mantra HR Solutions Pvt. Ltd,,,4-8 Yrs,"10,00,000 - 20,00,000 PA.",Pune,"ETL
AWS
IT Skills
Python
Data Science
Cloud
AWS
python",ETL,AWS,IT Skills,Python,Data Science,Cloud,AWS,python,PREMIUM,3 DAYS AGO,Data Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Scientist/Junior Data Scientist - AI HealthGlobal Startup,Benovymed Healthcare,,,1-5 Yrs,Not disclosed,Gurgaon Gurugram,"Tensorflow
Data Science
Predictive Modeling
NLP
Artificial Intelligence
Data Scientist
Data Architect
Machine Learning",Tensorflow,Data Science,Predictive Modeling,NLP,Artificial Intelligence,Data Scientist,Data Architect,Machine Learning,HOT JOB,9 DAYS AGO,Data Analyst,Accounting, Finance,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Scientist,JAVAJI TALENTS PRIVATE LIMITED,5,(3 Reviews),3-8 Yrs,"5,00,000 - 13,00,000 PA.",Chennai,"IT Skills
Python
Data Science
Data Science",IT Skills,Python,Data Science,Data Science,,,,,HOT JOB,9 DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Scientist,Beinex Solutions LLC.,,,3-6 Yrs,Not disclosed,Kochi,"Machine Learning
Deep Learning
Python
IT Skills
Python
Data Science
Machine Learning
Tensorflow",Machine Learning,Deep Learning,Python,IT Skills,Python,Data Science,Machine Learning,Tensorflow,HOT JOB,10 DAYS AGO,Data Scientist,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Not mentioned
Senior Data Scientist,"Fetch Rewards, Inc.",,,5-10 Yrs,Not disclosed,Remote,"IT Skills
Python
Data Science
Machine Learning
Big Data
AWS
Tableau
Computer science",IT Skills,Python,Data Science,Machine Learning,Big Data,AWS,Tableau,Computer science,,11 DAYS AGO,DBA,IT-Software, Software Services,IT Software - Other,"Full Time, Permanent",Admin/Maintenance/Security/Datawarehousing
Senior Data Scientist,Dream11 Inc,,,3-4 Yrs,Not disclosed,Mumbai,"Data analysis
Backend
customer analytics
data science
Business analytics
Demand forecasting
Machine learning
data visualization",Data analysis,Backend,customer analytics,data science,Business analytics,Demand forecasting,Machine learning,data visualization,,30+ DAYS AGO,Technical Architect,Wellness , Fitness ,IT Software - DBA,"Full Time, Permanent",Programming & Design
