Title,Title2,starrating,View,Keywords,Salary,Location,Keywords5,Skill1,Skill2,Skill3,Skill4,Skill5,Skll6,Skill7,Skill8,Type,Type13,Role,Industry_Type_1,Industry_Type_2,Functional_Area,Employment_Type,Role_Category
Explore Job Opening on Data Science,ICR INDIA CERTIFICATIONS PRIVATE LIMITED ,,,0-3 Yrs,"3,00,000 - 5,00,000 PA.","Chennai, Bengaluru, Hyderabad","python
C++
java",python,C++,java,,,,,,,7 DAYS AGO,Business Analyst,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",System Design/Implementation/ERP/CRM
Manager - Data Science,Merkle Inc.,,,3-8 Yrs,Not disclosed,Pune,"IT Skills
Python
Data Science
Tableau
Power BI
Data validation
Marketing analytics
SAS",IT Skills,Python,Data Science,Tableau,Power BI,Data validation,Marketing analytics,SAS,,9 DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science  /  Machine Learning,Connect Infosoft Technologies Pvt.Ltd,,,7-12 Yrs,Not disclosed,Faridabad,"Mining
data science
Coding
Time series analysis
Analytical
Artificial Intelligence
Consulting
Machine learning",Mining,data science,Coding,Time series analysis,Analytical,Artificial Intelligence,Consulting,Machine learning,,30+ DAYS AGO,Trainee,IT-Software, Software Services,Engineering Design,"Full Time, Permanent",Other
Data Science Machine Learning Engineering manager,CareerXperts Consulting,,,8-13 Yrs,Not disclosed,Not specified,"assembly language
website
C
HTML
ajax
javascript
jquery
SQL",assembly language,website,C,HTML,ajax,javascript,jquery,SQL,PREMIUM,30+ DAYS AGO,Software Developer,Recruitment, Staffing,IT Software - eCommerce,"Full Time, Permanent",Programming & Design
Data Science Machine Learning Engineering manager,CareerXperts Consulting,,,8-10 Yrs,Not disclosed,India,"Mining
Computer science
Object oriented design
Computer vision
data science
Consulting
Machine learning
Engineering Manager",Mining,Computer science,Object oriented design,Computer vision,data science,Consulting,Machine learning,Engineering Manager,,30+ DAYS AGO,Software Developer,Recruitment, Staffing,IT Software - eCommerce,"Full Time, Permanent",Programming & Design
Lead - Data Science & Engineering/Senior Lead ,Bajaj Finserv,4.1,(4170 Reviews),4-7 Yrs,Not disclosed,Pune,"Computer science
deep learning
Statistical analysis
SAS
data science
Lead
SPSS
MATLAB",Computer science,deep learning,Statistical analysis,SAS,data science,Lead,SPSS,MATLAB,,30+ DAYS AGO,Software Developer,Banking, Financial Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Python Developer - ADF Data Science - Chennai,ADF Data Science Private Limited,3.4,(8 Reviews),2-7 Yrs,Not disclosed,Chennai,"Data Science
Python",Data Science,Python,,,,,,,HOT JOB,25 DAYS AGO,Software Developer,Internet, Ecommerce,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Senior Director - Data Science - Machine & Deep Learning,Vipany Management Consulting,,,8-13 Yrs,Not disclosed,"Visakhapatnam, Vishakhapatnam","IT Skills
Python
Testing
Data Science
Machine Learning
Tableau
Data Science
Predictive Modeling",IT Skills,Python,Testing,Data Science,Machine Learning,Tableau,Data Science,Predictive Modeling,PREMIUM,30+ DAYS AGO,CEO/MD/Director,IT-Software, Software Services,Top Management,"Full Time, Permanent",Other
Data Science Professionals-Bangalore/Hyderabad/Mumbai/Gurgaon,Anlage Infotech (I) Pvt. Ltd.,,,1-5 Yrs,"6,00,000 - 12,00,000 PA.","Delhi NCR, Mumbai, Bengaluru, Hyderabad","Data Science
NLP
Natural Language Processing
Hadoop
Data Mining
Sentiment Analysis
Python
SQL",Data Science,NLP,Natural Language Processing,Hadoop,Data Mining,Sentiment Analysis,Python,SQL,HOT JOB,18 DAYS AGO,Other,Other,,Other,"Full Time, Permanent",Other
Data Science Professionals,Anlage Infotech (I) Pvt. Ltd.,,,1-5 Yrs,Not disclosed,"Mumbai, Bengaluru, Hyderabad","Data Science
SAS
Coding
Hadoop
SQL Queries
Spark
Python
SQL",Data Science,SAS,Coding,Hadoop,SQL Queries,Spark,Python,SQL,HOT JOB,23 DAYS AGO,Software Developer,Other,,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science,Capgemini,3.4,(10109 Reviews),4-6 Yrs,Not disclosed,Mumbai,"deep learning
data science
SAS
spark
Analytical
Manager Technology
Deployment
SPSS",deep learning,data science,SAS,spark,Analytical,Manager Technology,Deployment,SPSS,PREFERRED,15 DAYS AGO,,,,,,
Data Science Requirements,Teamware Solutions,3.5,(82 Reviews),4-9 Yrs,Not disclosed,Bengaluru,"IT Skills
Python
Machine Learning
Big Data
Computer science
Text mining
PDF
Web analytics",IT Skills,Python,Machine Learning,Big Data,Computer science,Text mining,PDF,Web analytics,,30+ DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - System Programming,"Full Time, Permanent",Programming & Design
Senior Data Scientist - MINT Sciences,Walmart Labs,4.2,(596 Reviews),2-7 Yrs,Not disclosed,Bengaluru,"Unix
Data analysis
Linux
data science
Resource allocation
Machine learning
Open source
Testing",Unix,Data analysis,Linux,data science,Resource allocation,Machine learning,Open source,Testing,,30+ DAYS AGO,Software Developer,Pharma, Biotech,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Director of Data Science,TASKUS INDIA PRIVATE LIMITED ,3.8,(12 Reviews),14-18 Yrs,Not disclosed,Indore,"business insights
Analytics",business insights,Analytics,,,,,,,HOT JOB,7 DAYS AGO,Analytics Manager,BPO, Call Centre,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
"Manager, Data Science",AERA SOFTWARE TECHNOLOGY PVT LTD,4.7,(3 Reviews),10-13 Yrs,Not disclosed,Pune,"Random Forest
Time Series
Python
IT Skills
Python
Data Science
Cloud
AWS",Random Forest,Time Series,Python,IT Skills,Python,Data Science,Cloud,AWS,PREMIUM,30+ DAYS AGO,Other,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Other
Director Data Science,ExecBoardinAsia,,,11-15 Yrs,Not disclosed,Bengaluru,"advanced analytics
Automation
Prototype
data science
Analytical
Deployment
Data quality
Data analytics",advanced analytics,Automation,Prototype,data science,Analytical,Deployment,Data quality,Data analytics,,30+ DAYS AGO,Database Architect/Designer,Recruitment, Staffing,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data science SSE - Omega Healthcare | Bangalore.,Omega Healthcare Management Services Pvt. Ltd.,3.8,(1415 Reviews),5-9 Yrs,Not disclosed,Bengaluru,"Data Science
Management Services
Healthcare Management",Data Science,Management Services,Healthcare Management,,,,,,PREFERRED,30 DAYS AGO,,,,,,
Data Science Beginners,Analytics Vidhya Educon Pvt. Ltd,,,12-15 Yrs,Not disclosed,Bengaluru,"Logistic regression
PMP
data science
Bloomberg
Machine learning
data visualization
Risk management
Analytics",Logistic regression,PMP,data science,Bloomberg,Machine learning,data visualization,Risk management,Analytics,,30+ DAYS AGO,Software Developer,Medical, Healthcare,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Deputy Manager-quant Developer- Quant+ Data Science (5-10 Years),Crescendo global services,4.9,(51 Reviews),5-10 Yrs,"19,00,000 - 30,00,000 PA.","Mumbai, Bengaluru","Data Science
Financial Analysis
Classification
Neural Networks
Quantitative Finance
Fixed Income
Investment Management
Python",Data Science,Financial Analysis,Classification,Neural Networks,Quantitative Finance,Fixed Income,Investment Management,Python,PREMIUM,20 DAYS AGO,,,,,,
Country Manager - Data Science,Gladwin Analytics,,,8-13 Yrs,Not disclosed,"Mumbai, Bengaluru","Product launch
Computer science
SAP
data science
Diagnostics
Coding
Analytical
Machine learning",Product launch,Computer science,SAP,data science,Diagnostics,Coding,Analytical,Machine learning,,30+ DAYS AGO,Data Analyst,Recruitment, Staffing,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Senior Manager - Data Science,Gladwin Analytics,,,11-16 Yrs,Not disclosed,"Mumbai, Bengaluru","Product launch
Computer science
SAP
data science
Diagnostics
Coding
Analytical
Machine learning",Product launch,Computer science,SAP,data science,Diagnostics,Coding,Analytical,Machine learning,,30+ DAYS AGO,Data Analyst,Recruitment, Staffing,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
"Senior Manager, Data Science",ExecBoardinAsia,,,5-10 Yrs,Not disclosed,Bengaluru,"Operations research
Business consulting
Primary research
data science
Analytical
Demand forecasting
Machine learning
Product design",Operations research,Business consulting,Primary research,data science,Analytical,Demand forecasting,Machine learning,Product design,,30+ DAYS AGO,Outside Consultant,Recruitment, Staffing,IT Software - Application Programming,"Full Time, Permanent",Other
"Manager, Data Science",ExecBoardinAsia,,,11-15 Yrs,Not disclosed,Bengaluru,"deep learning
Statistical analysis
data science
Machine learning
Cloud
Cosmos
big data
Analytics",deep learning,Statistical analysis,data science,Machine learning,Cloud,Cosmos,big data,Analytics,,30+ DAYS AGO,Team Lead/Technical Lead,Recruitment, Staffing,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Sr. Software Engineer-Data Science / Engineering,Ivanti,,,5-8 Yrs,Not disclosed,Bengaluru,"IT Skills
Python
Computer science
data science
Analytical
Machine learning
Cloud
Agile",IT Skills,Python,Computer science,data science,Analytical,Machine learning,Cloud,Agile,,30+ DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
VP / Sr. VP Data Science,Lendingkart Technologies Pvt. Ltd.,3.2,(104 Reviews),14-20 Yrs,Not disclosed,Bengaluru,"Data Science
Business Intelligence
R
Big Data
Tableau
Machine Learning
Statistics
Analytics",Data Science,Business Intelligence,R,Big Data,Tableau,Machine Learning,Statistics,Analytics,PREMIUM,30+ DAYS AGO,Head/VP/GM - Analytics & BI,Banking, Financial Services,Analytics & Business Intelligence,"Full Time, Permanent",Senior Management
Assistant Manager Data Science,UpGrad,,,3-5 Yrs,"14,00,000 - 24,00,000 PA.","Mumbai, Bengaluru","NLP
Python
SQL
Machine Learning",NLP,Python,SQL,Machine Learning,,,,,PREMIUM,30+ DAYS AGO,Other,Education, Teaching,Other,"Full Time, Permanent",Other
Data Science Engineer,INTELLIPREDIKT TECHNOLOGIES PRIVATE LIMITED,4.6,(5 Reviews),1-5 Yrs,Not disclosed,Bengaluru,"Printing
data science
Machine learning
Data analytics
data visualization",Printing,data science,Machine learning,Data analytics,data visualization,,,,,30+ DAYS AGO,Research Associate,Automobile, Auto Anciliary,Engineering Design,"Full Time, Permanent",Other
Data Science Engineer,Bloom Consulting Services,3.6,(18 Reviews),2-5 Yrs,Not disclosed,Bengaluru,"Statistical programming
data science
Machine learning
SCALA
Open source
Data mining
Ruby
MATLAB",Statistical programming,data science,Machine learning,SCALA,Open source,Data mining,Ruby,MATLAB,,30+ DAYS AGO,Software Developer,Recruitment, Staffing,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science Engineer,Varite,3.7,(34 Reviews),3-8 Yrs,Not disclosed,Bengaluru,"IT Skills
Python
Testing
Data Science
Oracle
MS SQL
Tableau
Power BI",IT Skills,Python,Testing,Data Science,Oracle,MS SQL,Tableau,Power BI,,30+ DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science,AdmyBrand,,,1-5 Yrs,Not disclosed,Bengaluru,"Printing
data science
Machine learning
Data collection
Radio
Data mining
Advertising
Analytics",Printing,data science,Machine learning,Data collection,Radio,Data mining,Advertising,Analytics,,30+ DAYS AGO,Database Architect/Designer,Advertising, PR,IT Software - DBA,"Full Time, Permanent",Programming & Design
Data Science Consultant,Hewlett Packard Enterprise,4.3,(2549 Reviews),4-12 Yrs,Not disclosed,Bengaluru,"Computer science
Business process
Career development
Machine learning
Informatica
SPSS
QlikView
Unix shell scripting",Computer science,Business process,Career development,Machine learning,Informatica,SPSS,QlikView,Unix shell scripting,,30+ DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - DBA,"Full Time, Permanent",Programming & Design
Assistant Manager - Data Science,Gladwin Analytics,,,4-9 Yrs,Not disclosed,"Mumbai, Bengaluru","Logistic regression
Statistical analysis
data science
SAS
Analytical
Machine learning
FMCG
Business intelligence",Logistic regression,Statistical analysis,data science,SAS,Analytical,Machine learning,FMCG,Business intelligence,,30+ DAYS AGO,Data Analyst,Recruitment, Staffing,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Team Lead -data Science| Omega Healthcare | Bangalore| Video Interview,Omega Healthcare Management Services Pvt. Ltd.,3.8,(1415 Reviews),7-12 Yrs,"14,00,000 - 24,00,000 PA.",Bengaluru(Wind Tunnel Road),"IT Skills
Python
Data Science
Machine Learning
Cloud
AWS
Azure
Data Science",IT Skills,Python,Data Science,Machine Learning,Cloud,AWS,Azure,Data Science,PREMIUM,30 DAYS AGO,,,,,,
Data Science Technical Lead,ExecBoardinAsia,,,11-15 Yrs,Not disclosed,Bengaluru,"Front end
data science
Machine learning
Technical Lead
data visualization
Python",Front end,data science,Machine learning,Technical Lead,data visualization,Python,,,,30+ DAYS AGO,Team Lead/Technical Lead,Recruitment, Staffing,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Team Lead / Consultant-Data Science,Accenture Solutions Pvt Ltd,4,(15236 Reviews),7-11 Yrs,Not disclosed,Bengaluru,"IT Skills
Data Science
Machine Learning
Artificial Intelligence
Big Data
Automation
Big Data Analytics
Artificial Intelligence",IT Skills,Data Science,Machine Learning,Artificial Intelligence,Big Data,Automation ,Big Data Analytics,Artificial Intelligence,PREFERRED,23 DAYS AGO,,,,,,
Data Science,AdmyBrand,,,1-5 Yrs,Not disclosed,Bengaluru,"Printing
data science
Machine learning
Data collection
Radio
Data mining
Advertising
Analytics",Printing,data science,Machine learning,Data collection,Radio,Data mining,Advertising,Analytics,,30+ DAYS AGO,Database Architect/Designer,Advertising, PR,IT Software - DBA,"Full Time, Permanent",Programming & Design
Data Science Consultant,Hewlett Packard Enterprise,4.3,(2549 Reviews),4-12 Yrs,Not disclosed,Bengaluru,"Computer science
Business process
Career development
Machine learning
Informatica
SPSS
QlikView
Unix shell scripting",Computer science,Business process,Career development,Machine learning,Informatica,SPSS,QlikView,Unix shell scripting,,30+ DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - DBA,"Full Time, Permanent",Programming & Design
Team Lead -data Science| Omega Healthcare | Bangalore| Video Interview,Omega Healthcare Management Services Pvt. Ltd.,3.8,(1415 Reviews),7-12 Yrs,"14,00,000 - 24,00,000 PA.",Bengaluru(Wind Tunnel Road),"IT Skills
Python
Data Science
Machine Learning
Cloud
AWS
Azure
Data Science",IT Skills,Python,Data Science,Machine Learning,Cloud,AWS,Azure,Data Science,PREMIUM,30 DAYS AGO,,,,,,
Data Science Technical Lead,ExecBoardinAsia,,,11-15 Yrs,Not disclosed,Bengaluru,"Front end
data science
Machine learning
Technical Lead
data visualization
Python",Front end,data science,Machine learning,Technical Lead,data visualization,Python,,,,30+ DAYS AGO,Team Lead/Technical Lead,Recruitment, Staffing,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Team Lead / Consultant-Data Science,Accenture Solutions Pvt Ltd,4,(15236 Reviews),7-11 Yrs,Not disclosed,Bengaluru,"IT Skills
Data Science
Machine Learning
Artificial Intelligence
Big Data
Automation
Big Data Analytics
Artificial Intelligence",IT Skills,Data Science,Machine Learning,Artificial Intelligence,Big Data,Automation ,Big Data Analytics,Artificial Intelligence,PREFERRED,23 DAYS AGO,,,,,,
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,4,(15236 Reviews),7-11 Yrs,Not disclosed,Bengaluru,"IT Skills
Data Science
Machine Learning
Big Data
Publishing
Statistical analysis
Architecture
data science",IT Skills,Data Science,Machine Learning,Big Data,Publishing,Statistical analysis,Architecture,data science,PREFERRED,24 DAYS AGO,,,,,,
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,4,(15236 Reviews),7-11 Yrs,Not disclosed,Bengaluru,"IT Skills
Data Science
Machine Learning
Artificial Intelligence
Big Data
Automation
Publishing
Data management",IT Skills,Data Science,Machine Learning,Artificial Intelligence,Big Data,Automation,Publishing,Data management,PREFERRED,24 DAYS AGO,,,,,,
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,4,(15236 Reviews),7-11 Yrs,Not disclosed,Bengaluru,"IT Skills
Data Science
Machine Learning
Big Data
Tableau
Publishing
Architecture
data science",IT Skills,Data Science,Machine Learning,Big Data,Tableau,Publishing,Architecture,data science,PREFERRED,24 DAYS AGO,,,,,,
Team Lead/Consultant - Data Science,Accenture Solutions Pvt Ltd,4,(15236 Reviews),7-11 Yrs,Not disclosed,Bengaluru,"IT Skills
Data Science
Machine Learning
Project Management
BPO
project management
Data Science
Publishing",IT Skills,Data Science,Machine Learning,Project Management,BPO,project management,Data Science,Publishing,PREFERRED,24 DAYS AGO,,,,,,
Principal Consultant  -  Data Science,D Cube Analytics,,,10-12 Yrs,Not disclosed,Bengaluru,"Computer science
deep learning
C++
data science
Neural networks
Analytical
Machine learning
Data analytics",Computer science,deep learning,C++,data science,Neural networks,Analytical,Machine learning,Data analytics,PREMIUM,30+ DAYS AGO,Project Manager-IT/Software,Pharma, Biotech,IT Software - Application Programming,"Full Time, Permanent",Project Management
Data Science (ETO - Engineering),Global Talent Pool,,,3-5 Yrs,Not disclosed,"Mumbai, Bengaluru","Computer science
data science
Analytical
Programming
Data structures
Mathematics
Statistics
Python",Computer science,data science,Analytical,Programming,Data structures,Mathematics,Statistics,Python,,30+ DAYS AGO,Software Developer,Recruitment, Staffing,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Associate Data Science Consultant,AXA Business Services Pvt Ltd,3.8,(675 Reviews),3-5 Yrs,Not disclosed,Bengaluru,"Text mining
PDF
data science
Network analysis
Machine learning
Mining operations
Data mining
Operations",Text mining,PDF,data science,Network analysis,Machine learning,Mining operations,Data mining,Operations,,30+ DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science Engineer,AXA Business Services Pvt Ltd,3.8,(675 Reviews),3-5 Yrs,Not disclosed,Bengaluru,"Hadoop Administration
GIT
Linux
data science
Coding
Machine learning
Monitoring
Python",Hadoop Administration,GIT,Linux,data science,Coding,Machine learning,Monitoring,Python,,30+ DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science,The Silicon Partners,,,2-7 Yrs,Not disclosed,"Pune, Hyderabad","Computer science
Analytical skills
SAS
Staffing
RDBMS
Analytical
Machine learning
Data analytics",Computer science,Analytical skills,SAS,Staffing,RDBMS,Analytical,Machine learning,Data analytics,PREMIUM,30+ DAYS AGO,Associate/Senior Associate -(Technical),IT-Software, Software Services,ITES,"Full Time, Permanent",Voice
Data Sciences - Partner,TheMathcompany,4.4,(5 Reviews),6-10 Yrs,Not disclosed,Bengaluru,"Sales
SAS
Machine learning
HTTP
SPSS
Management
Analytics
Python",Sales,SAS,Machine learning,HTTP,SPSS,Management,Analytics,Python,,30+ DAYS AGO,Outside Technical Consultant,Internet, Ecommerce,IT Software - DBA,"Full Time, Permanent",System Design/Implementation/ERP/CRM
Data Sciences - Associate,TheMathcompany,4.4,(5 Reviews),2-5 Yrs,Not disclosed,Bengaluru,"SAS
Machine learning
Packaging
HTTP
SPSS
Analytics
Python",SAS,Machine learning,Packaging,HTTP,SPSS,Analytics,Python,,,30+ DAYS AGO,Software Developer,Internet, Ecommerce,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science Lead,DUNZO DIGITAL,3.8,(5 Reviews),6-12 Yrs,Not disclosed,Bengaluru,"Product management
Cloud computing
Backend
SAS
Neural networks
Perl
Sanitary
Python",Product management,Cloud computing,Backend,SAS,Neural networks,Perl,Sanitary,Python,,30+ DAYS AGO,Team Lead/Technical Lead,Internet, Ecommerce,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science - Principal Software Engineer,ExecBoardinAsia,,,11-15 Yrs,Not disclosed,Bengaluru,"Networking
data science
Machine learning
Application security
Research
Principal",Networking,data science,Machine learning,Application security,Research,Principal,,,,30+ DAYS AGO,Software Developer,Recruitment, Staffing,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science Manager,RGF Professional Recruitment India,,,12-16 Yrs,Not disclosed,Bengaluru,"Cloud computing
Business objects
MS SQL
jQuery
data science
Project management
Consulting
Agile",Cloud computing,Business objects,MS SQL,jQuery,data science,Project management,Consulting,Agile,,30+ DAYS AGO,Software Developer,Recruitment, Staffing,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science Lead,D Cube Analytics,,,10-12 Yrs,Not disclosed,Bengaluru,"Computer science
deep learning
C++
data science
Neural networks
Analytical
Machine learning
Data analytics",Computer science,deep learning,C++,data science,Neural networks,Analytical,Machine learning,Data analytics,PREMIUM,30+ DAYS AGO,Software Developer,Pharma, Biotech,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science Manager,RGF Professional Recruitment India,,,12-16 Yrs,Not disclosed,Bengaluru,"Cloud computing
Business objects
MS SQL
jQuery
data science
Project management
Consulting
Agile",Cloud computing,Business objects,MS SQL,jQuery,data science,Project management,Consulting,Agile,,30+ DAYS AGO,Software Developer,Recruitment, Staffing,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science Lead,D Cube Analytics,,,10-12 Yrs,Not disclosed,Bengaluru,"Computer science
deep learning
C++
data science
Neural networks
Analytical
Machine learning
Data analytics",Computer science,deep learning,C++,data science,Neural networks,Analytical,Machine learning,Data analytics,PREMIUM,30+ DAYS AGO,Software Developer,Pharma, Biotech,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science Quality Asssessment Engineer,Eagleview ,,,3-6 Yrs,Not disclosed,Bengaluru,"Computer vision
Web technologies
data science
Machine learning
Open source",Computer vision,Web technologies,data science,Machine learning,Open source,,,,,30+ DAYS AGO,Software Developer,BPO, Call Centre,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Head of Data Science,GO-JEK,3.5,(2 Reviews),8-12 Yrs,Not disclosed,Bengaluru,"Computer science
data science
Strategic partnerships
Analytical
Formulation
Machine learning
Business case
Logistics",Computer science,data science,Strategic partnerships,Analytical,Formulation,Machine learning,Business case,Logistics,,30+ DAYS AGO,Program Manager,Courier, Transportation,IT Software - Application Programming,"Full Time, Permanent",Senior Management
Sr Manager - III-Data Science,Citius IT Solutions Pvt Ltd,,,7-10 Yrs,Not disclosed,"Mumbai, Bengaluru","advanced analytics
data science
Customer satisfaction
Technical leadership
Manager Technology
Research
US healthcare
Investment",advanced analytics,data science,Customer satisfaction,Technical leadership,Manager Technology,Research,US healthcare,Investment,,30+ DAYS AGO,Team Lead/Technical Lead,IT-Software, Software Services,IT Software - Other,"Full Time, Permanent",Programming & Design
"Manager, Business Analytics and Data Sciences",ExecBoardinAsia,,,5-10 Yrs,Not disclosed,Bengaluru,"Mining
Business transformation
Data modeling
Customer satisfaction
Business analytics
Predictive modeling
Data analytics
Customer experience",Mining,Business transformation,Data modeling,Customer satisfaction,Business analytics,Predictive modeling,Data analytics,Customer experience,,30+ DAYS AGO,Business/EDP Analyst,Recruitment, Staffing,ITES,"Full Time, Permanent",Operations
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,4,(15236 Reviews),7-11 Yrs,Not disclosed,Mumbai,"IT Skills
Python
Data Science
Machine Learning
Publishing
Architecture
data science
management",IT Skills,Python,Data Science,Machine Learning,Publishing,Architecture,data science,management,PREFERRED,24 DAYS AGO,,,,,,
Senior Data Science & Analytics Platform Engineer,GSK and Company,,,3-7 Yrs,Not disclosed,Bengaluru,"Procurement
Coding
Pharma
Analytical
Healthcare
Technical architecture
Engineering Design
Analytics",Procurement,Coding,Pharma,Analytical,Healthcare,Technical architecture,Engineering Design,Analytics,PREMIUM,30+ DAYS AGO,Software Developer,Strategy, Management Consulting Firms,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Analytics & Data Science,KPRO SOLUTIONS,5,(2 Reviews),9-14 Yrs,Not disclosed,Bengaluru,"Publishing
Web technologies
SAS
data science
SPSS
Web content
Analytics
SQL",Publishing,Web technologies,SAS,data science,SPSS,Web content,Analytics,SQL,,30+ DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Sciences - Senior Associate,TheMathcompany,4.4,(5 Reviews),3-6 Yrs,Not disclosed,Bengaluru,"Manager Technology
Packaging
Analytics",Manager Technology,Packaging,Analytics,,,,,,,30+ DAYS AGO,Software Developer,Internet, Ecommerce,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
"Data Science, Ai,r,python,testing Automation,iot Part time Faculty",Clinnovo Research Labs Private Limited.,,,3-8 Yrs,"1,00,000 - 3,00,000 PA.",Hyderabad,"IT Skills
Python
Testing
Data Science
Data Science
Datascience
R
Algorithms",IT Skills,Python,Testing,Data Science,Data Science,Datascience,R,Algorithms,,5 DAYS AGO,Trainer/Faculty,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Other
Hiring For BIG 4 - Data Science,WSNE Consulting Pvt Ltd,,,2-6 Yrs,Not disclosed,Gurgaon,"IT Skills
Java
Python
Software Development
Machine Learning
Data Science
Quantitative Analysis
Java",IT Skills,Java,Python,Software Development,Machine Learning,Data Science,Quantitative Analysis,Java,,2 DAYS AGO,System Analyst,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science Product Manager - Artificial Intelligence,Catalyst,,,4-9 Yrs,Not disclosed,Bengaluru,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Big Data
Data Science
Tensorflow",IT Skills,Python,Data Science,Machine Learning,Artificial Intelligence,Big Data,Data Science,Tensorflow,PREMIUM,30 DAYS AGO,Product Manager,IT-Software, Software Services,IT Software - DBA,"Full Time, Permanent",Programming & Design
Machine Learning Engineer - Data Modeling/Data Science,Okda Solutions,,,4-6 Yrs,Not disclosed,Pune,"IT Skills
Java
Python
Data Science
Machine Learning
Data Science
Java
R",IT Skills,Java,Python,Data Science,Machine Learning,Data Science,Java,R,PREMIUM,22 DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - DBA,"Full Time, Permanent",Programming & Design
Junior-Mid-Senior Data science,POPxo,,,1-3 Yrs,Not disclosed,"Delhi, Mumbai","Statistical analysis
data science
Machine learning
Data collection
Programming
Data mining
MATLAB
SQL",Statistical analysis,data science,Machine learning,Data collection,Programming,Data mining,MATLAB,SQL,,22 DAYS AGO,DBA,Media, Entertainment,IT Software - DBA,"Full Time, Permanent",Admin/Maintenance/Security/Datawarehousing
Assistant Manager - Data Science,Vreedhi Financial Services,,,2-4 Yrs,Not disclosed,"Hyderabad, telangana","data science
Bfsi
Machine learning
MySQL
Data collection
Programming
Data quality
QlikView",data science,Bfsi,Machine learning,MySQL,Data collection,Programming,Data quality,QlikView,,30+ DAYS AGO,Business Analyst,Banking, Financial Services,IT Software - DBA,"Full Time, Permanent",System Design/Implementation/ERP/CRM
Data Science Course Mentor,Springboard,,,1-4 Yrs,Not disclosed,Remote,"SAN
Health insurance
data science
Consulting
Programming
Mentor
Budgeting
Statistics",SAN,Health insurance,data science,Consulting,Programming,Mentor,Budgeting,Statistics,,30+ DAYS AGO,Team Lead/Technical Lead,Education, Teaching,IT Software - eCommerce,"Full Time, Permanent",Programming & Design
Data Science Lead Engineer,SYSTEM SOFT TECHNOLOGIES INDIA PRIVATE LIMITED ,4.5,(2 Reviews),5-10 Yrs,Not disclosed,Hyderabad,"IT Skills
Java
Python
Testing
Data Science
Machine Learning
Big Data
Java",IT Skills,Java,Python,Testing,Data Science,Machine Learning,Big Data,Java,PREMIUM,23 DAYS AGO,Data Science Lead,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Not mentioned
